TIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
01/09/15 12,4.159584045,1.277826786,3.860627413,2.096641302,1.540462375,5.390089035,4.626482487,118.8815384,1,0,0,0,0,0,0,0,0,0,0,44.83639908,1,0,0,0,0,32.17370605,1,0,0,79.79598236,1,2.989914179,22.39436531,27.05546761,76.76062775,27.02235794,93.63399506,25.90987587,57.67044067,25.78863907,68.44541931,29.54920769,28.64920807,0
01/09/15 13,3.611705303,1.572713494,3.860619783,3.603010416,1.313134074,5.5,4.303628922,121.044075,1,0,0,0,0,0,0,0,0,0,0,49.4095993,1,34.0477066,1,0,0,29.51441383,1,0,0,69.50977325,1,2.98957181,21.14098358,26.72484398,71.49365997,26.68520927,85.16797638,18.2819252,81.86752319,18.17859077,69.72080994,29.19148827,28.29148674,0
01/09/15 14,3.058300018,1.772180319,3.479845047,3.717342615,1.934746027,5.5,4.416234016,121.4064865,1,0,0,0,0,0,0,0,0,0,0,50.20083618,1,34.46460342,1,0,0,27.9659729,1,0,0,66.3299408,1,2.989513874,20.93014526,26.80732918,65.58576202,26.76651001,83.71294403,18.27843094,81.15724945,18.18491173,74.41004944,29.26314545,28.36314583,0
01/09/15 15,2.568907022,1.962717295,2.918884039,3.154222488,2.414246321,5.373595715,4.318164825,117.4339981,1,0,0,0,0,36.87228394,1,0,0,0,0,50.28175354,1,37.5680542,1,0,0,0,0,0,0,86.31654358,1,2.990140438,23.22881126,26.33394623,85.35279846,26.40956497,83.1967926,25.64266777,82.9389801,25.64266777,62.36458206,29.35028267,28.45028114,0
01/09/15 16,2.284715891,1.948692441,3.300257683,2.591879606,2.70628953,5.282412052,4.3628335,115.057724,1,0,0,0,0,37.22647095,1,0,0,0,0,48.80533981,1,38.00639343,1,0,0,0,0,0,0,94.55068207,1,2.990506887,24.59066582,26.39149475,84.53444672,26.47194099,86.10028839,26.66174889,83.1328125,26.66174889,51.01573181,29.45225334,28.55225372,0
01/09/15 17,2.164301634,2.024736404,3.632868052,3.086648703,2.914899588,4.870107651,2.264145136,122.3376541,1,0,0,0,0,31.46171188,1,0,0,0,0,46.48891068,1,34.52019119,1,0,0,29.51439285,1,0,0,61.87348938,1,2.989364386,20.38740158,26.29554749,94.1091156,26.34741974,90.16461945,17.20715523,79.99727631,17.1038208,68.64620209,29.05190468,28.15190506,0
01/09/15 18,1.647705793,1.850304246,4.264446735,4.1311059,3.079910994,5.160327911,2.903371572,119.2719193,1,0,0,0,0,35.42398453,1,0,0,0,0,49.74675751,1,34.23023224,1,0,0,30.9146843,1,0,0,76.99139404,1,2.989852905,22.16869926,26.18191147,87.54948425,26.250494,84.08448792,18.81912994,82.10415649,18.70653343,65.7046814,29.11349678,28.21349716,0
01/09/15 19,1.305406928,1.758084416,4.680029392,3.640543938,3.524842978,5.066182613,2.190100908,123.3077927,1,0,0,0,0,33.66032791,1,0,0,0,0,49.25842285,1,33.98447418,1,0,0,29.85731888,1,0,0,59.8910675,1,2.989207745,19.82036209,25.75780869,90.10306549,25.81730652,84.58798218,16.5663147,80.25868225,16.46074486,66.91758728,28.56767464,27.66767502,0
01/09/15 20,0.86701107,1.56492734,5.170902729,3.626701117,3.706179857,5.241135597,2.365803003,96.99094391,1,97.01005554,1,0,0,36.40991974,1,0,0,0,0,44.29650116,1,33.51605988,1,0,0,31.17988205,1,0,0,92.60806274,1,2.975018978,34.58914566,26.12730217,85.75386047,26.20931816,93.69771576,19.97823524,84.45013428,19.86384392,65.9677887,29.11375427,28.21375465,0
01/09/15 21,1.01144433,2.010289192,4.96377182,4.470983028,3.771378279,5.23084259,1.903363824,94.6890564,1,94.70749664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.14293671,1,0,0,74.12936401,1,2.976105928,35.82125092,30.74754333,70.93610382,30.74754333,58.38069916,27.18281746,59.90147018,27.05473137,66.20191956,33.05775452,32.15775299,0
01/09/15 22,1.27513361,2.693983078,4.522264481,2.938760519,2.676337242,5.16651392,1.350535393,96.11514282,1,96.13400269,1,0,0,0,0,0,0,0,0,50.61345291,1,0,0,0,0,32.61579132,1,0,0,84.74720001,1,2.975435019,35.05916977,28.39330864,68.80691528,28.35186577,84.48247528,26.73627281,60.55139923,26.61193466,67.68611908,30.95490646,30.05490494,0
01/09/15 23,1.445334792,3.052015543,4.025598526,2.902225733,1.778544545,5.358587265,1.618866324,97.21331024,1,97.23249054,1,0,0,0,0,0,0,0,0,51.16675186,1,0,0,0,0,31.94709969,1,0,0,79.59870911,1,2.974912882,34.46957016,28.49220276,70.21907043,28.44991875,83.46917725,26.49106407,59.22299957,26.37140274,69.82802582,31.02672768,30.12672806,0
02/09/15 00,1.429930568,3.335527658,3.591757774,2.370474815,1.653264761,5.5,2.4593997,95.65378571,1,95.67250061,1,0,0,0,0,0,0,0,0,47.17601776,1,35.61429596,1,0,0,25.87478065,1,0,0,80.9622879,1,2.975653172,35.30615997,29.04130745,73.79259491,29.00492668,91.61466217,21.56774139,82.45475769,21.48675919,83.47969055,31.55687332,30.6568737,0
02/09/15 01,1.538897872,3.690106392,3.326356649,3.582669497,2.168178797,5.5,4.768732548,97.03314209,1,97.05226898,1,0,0,0,0,0,0,0,0,49.80858994,1,35.10613251,1,0,0,30.00206184,1,0,0,75.45537567,1,2.974998713,34.56645966,29.02964592,72.19862366,28.98941612,86.70191193,20.19173431,81.97964478,20.08521652,70.07896423,31.53109932,30.6310997,0
02/09/15 02,1.558355093,3.961143017,2.996925831,3.941208124,2.642605782,5.357881069,4.112865925,98.14752197,1,98.16697693,1,0,0,34.62568283,1,0,0,0,0,46.46492386,1,34.73669052,1,0,0,0,0,0,0,74.38905334,1,2.974464417,33.96609879,28.36234856,91.16352844,28.43104935,92.28990173,25.90707207,88.27009583,25.90707207,62.24010849,31.23142815,30.33142853,0
02/09/15 03,1.56223774,4.108990192,3.563559294,4.291090012,3.650330782,5.261467934,4.244057655,98.28504181,1,98.30453491,1,0,0,31.6421833,1,0,0,0,0,0,0,35.45761871,1,0,0,0,0,0,0,65.00675964,1,2.974398136,33.8918457,29.79341316,97.33440399,29.88161659,71.83498383,25.73576164,86.85203552,25.73576164,61.62283325,32.22364807,31.32364845,0
02/09/15 04,1.63467741,4.46902132,4.271006584,4.291071892,3.78993392,5.092785835,3.64463377,91.67366028,1,91.69123077,1,0,0,35.27582932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.13863373,1,2.977496147,37.41911697,31.19268036,92.81713104,31.30056,60.33333206,31.76916122,62.19075012,31.76916122,54.33789444,33.78471756,32.88471603,0
02/09/15 05,2.01548624,4.867418289,4.833858967,2.981501818,2.959220171,4.923023701,2.441387653,92.941185,1,92.95911407,1,0,0,33.89742279,1,0,0,0,0,50.24243927,1,0,0,0,0,33.1673317,1,0,0,90.36916351,1,2.976916313,36.74970627,29.31963348,93.27475739,29.37895584,86.24745941,28.40229797,64.5032196,28.27403641,67.33099365,32.31321335,31.41321564,0
02/09/15 06,2.304618597,4.938564777,5.405395031,3.329539776,2.753626347,5.060465336,2.291657925,97.32486725,1,97.34407806,1,0,0,0,0,0,0,0,0,46.91732407,1,0,0,0,0,31.16978645,1,0,0,68.63884735,1,2.974859476,34.40953064,30.15875626,72.78357697,30.12274361,93.18965149,27.08857346,58.88371658,26.97425079,73.11256409,32.60432816,31.70432854,0
02/09/15 07,2.314787149,5.170861244,5.014780045,4.578721523,1.658585429,5.5,3.616068363,93.92321014,1,93.94142151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.23314476,1,0,0,62.6777916,1,2.976462603,36.22882462,32.90982056,77.91400146,32.90982056,68.28469849,28.73093605,57.78868103,28.62941933,81.04876709,35.16120911,34.26120758,0
02/09/15 08,2.560871601,5.6195755,5.011528969,3.592413425,1.484929204,5.44724369,4.72393465,87.27005005,1,87.28636932,1,0,0,0,0,0,0,0,0,0,0,36.26784897,1,0,0,0,0,0,0,0,0,2.97945714,39.71891785,30.6195755,77.91152954,30.6195755,71.08773804,31.08785439,90.7674942,31.08785439,61.88960648,43.48377609,31.80957603,0
02/09/15 09,3.099381924,5.619576931,5.011521339,3.565935135,2.658298016,5.28131628,4.037498474,91.30648804,1,91.32395172,1,0,0,0,0,0,0,0,0,0,0,35.38275528,1,0,0,0,0,0,0,0,0,2.977662563,37.6124115,30.61957741,73.40872192,30.61957741,62.43689346,29.46598244,90.71295929,29.46598244,57.26424408,41.16298294,31.80957794,0
02/09/15 10,3.439101219,5.352267742,4.66164875,2.880759954,3.792718887,4.969769478,2.530422688,85.86890411,1,85.88483429,1,0,0,0,0,0,0,0,0,51.09922791,1,36.93548203,1,0,0,31.12059784,1,0,0,0,0,2.980063677,40.44210815,28.28311729,74.61946106,28.24093628,83.39681244,25.41657066,83.9488678,25.30258179,71.60734558,44.12799835,29.6659317,0
02/09/15 11,3.95865798,4.809859753,4.383601665,2.343337536,3.809075832,5.376219273,3.602381706,92.23802948,1,92.25576019,1,0,0,0,0,0,0,0,0,51.09736633,1,0,0,0,0,33.52241516,1,0,0,0,0,2.977238655,37.12145996,27.74084854,71.59447479,27.69866943,82.85829926,29.61934662,59.93917084,29.48853111,67.22156525,40.85499954,29.1236496,0
02/09/15 12,4.226184845,4.172255516,3.9866395,2.109306574,2.714035273,5.388670444,2.980716944,89.15067291,1,89.16751862,1,0,0,0,0,0,0,37.50709152,1,37.48313522,1,0,0,0,0,31.66070366,1,0,0,0,0,2.978629589,38.74171066,24.96190262,76.60185242,24.87607002,102.0308762,31.49926567,64.51403809,31.38160133,75.85050964,42.7573967,26.54424477,0
02/09/15 13,4.532839298,3.379293919,3.907840252,2.535330296,2.714027405,5.5,4.961467266,112.2195129,1,0,0,0,0,0,0,0,0,33.36031723,1,33.33707809,1,0,0,0,0,0,0,0,0,0,0,2.990935802,26.20413589,24.99038696,72.0401001,24.92130089,106.75177,32.24342728,64.51403046,32.24342728,62.47051239,38.93709183,26.4961834,0
02/09/15 14,4.659443855,2.725035429,3.546999216,3.762801409,2.714019299,5.376342297,4.435002327,112.1951294,1,0,0,0,0,0,0,0,0,0,0,49.09259033,1,0,0,0,0,0,0,0,0,0,0,2.990939617,26.21793365,25.80384636,65.27404785,25.76468086,84.8507309,32.32266235,63.42707825,32.32266235,58.45675278,38.98620987,27.17287254,0
02/09/15 15,4.773198605,2.189149857,3.012677908,3.801103592,2.265189886,5.024859428,2.836220503,111.5307617,1,0,0,0,0,34.23345184,1,0,0,0,0,47.09850693,1,0,0,0,0,0,0,0,0,0,0,2.991038561,26.59349632,22.19374275,85.59101105,22.25952148,85.00708008,32.58478928,63.80383682,32.58478928,60.28176498,39.32489014,23.94178009,0
02/09/15 16,4.857979298,1.329557538,3.40935874,4.072337627,2.057285786,5.101356983,3.087044716,106.130722,1,0,0,0,0,30.54091644,1,0,0,0,0,46.55412292,1,0,0,0,0,31.05857086,1,0,0,0,0,2.991825581,29.61621094,21.81513023,91.00141144,21.86223984,85.56589508,32.01473236,62.92186356,31.90116501,78.41547394,41.80102158,23.50071716,0
02/09/15 17,5.234416962,0.51535064,3.971366405,4.436564922,1.6434021,5.482360363,4.82405138,111.5545807,1,0,0,0,0,27.44060898,1,0,0,0,0,47.6786232,1,0,0,0,0,0,0,0,0,0,0,2.991035223,26.5800457,21.22382927,94.68938446,21.25448036,82.96081543,32.83842468,59.52832413,32.83842468,62.85099411,39.45149231,22.87517357,0
02/09/15 18,4.828102112,0.545362651,4.657337189,3.833083153,1.777201653,5.443883896,4.876383305,119.3694916,1,0,0,0,0,36.15174103,1,0,0,0,0,49.46501541,1,37.95914078,1,0,0,0,0,0,0,90.15542603,1,2.989837408,22.112257,24.95216751,85.04007721,25.02534294,83.4008255,24.9022274,81.46278381,24.9022274,53.27841187,27.97295952,27.0729599,0
