DATETIME, L_T1 , L_T2 , L_T3 , L_T4 , L_T5 , L_T6 , L_T7 , F_PU1 , S_PU1 , F_PU2 , S_PU2 , F_PU3 , S_PU3 , F_PU4 , S_PU4 , F_PU5 , S_PU5 , F_PU6 , S_PU6 , F_PU7 , S_PU7 , F_PU8 , S_PU8 , F_PU9 , S_PU9 , F_PU10 , S_PU10 , F_PU11 , S_PU11 , F_V2 , S_V2 , P_J280 , P_J269 , P_J300 , P_J256 , P_J289 , P_J415 , P_J302 , P_J306 , P_J307 , P_J317 , P_J14 , P_J422 , ATT_FLAG 
01/04/16 12,3.437617779,2.158174515,3.541108608,3.748645067,3.047934771,5.09087944,3.272544861,120.913475,1,0,0,0,0,0,0,0,0,0,0,50.33465958,1,32.92923355,1,0,0,30.07619858,1,0,0,65.97615051,1,2.989592552,21.21690559,27.18001747,65.2681427,27.13899612,83.82191467,18.4718399,83.89250946,18.36483192,68.11959839,29.63498306,28.73498344,-999
01/04/16 13,2.902099848,2.290383577,3.017938852,3.188022375,3.785123587,5.321376801,3.521193504,121.6376495,1,0,0,0,0,37.1489296,1,0,0,0,0,44.24065018,1,34.61147308,1,0,0,30.44293785,1,0,0,64.2980957,1,2.989476919,20.79554558,26.46829033,84.75376129,26.55471992,94.13530731,17.45794106,80.09637451,17.34850693,65.91075897,29.30280495,28.40280342,-999
01/04/16 14,2.367982864,2.154607058,3.370026112,4.500140667,3.810595751,5.229355335,2.762115002,118.4075241,1,0,0,0,0,37.72558975,1,0,0,0,0,0,0,34.37439346,1,0,0,30.67148209,1,0,0,71.59281158,1,2.989988565,22.66801262,27.79847717,85.01590729,27.92064095,54.29230881,19.44994545,82.49118805,19.33898354,67.14768219,30.32702255,29.42702293,-999
01/04/16 15,2.076696634,2.413188219,3.713095427,2.661849737,3.647390842,5.400612354,2.804256201,115.5522842,1,0,0,0,0,36.63680267,1,0,0,0,0,45.79893112,1,0,0,0,0,32.97876358,1,0,0,89.29782867,1,2.99043107,24.30805016,26.87547302,86.09360504,26.95674896,91.96131134,27.04172516,65.42159271,26.91481018,66.66680908,29.85957146,28.95957184,-999
01/04/16 16,2.003965855,2.484331846,4.091505051,3.944794655,3.58784318,5.35800457,2.206505537,115.2754898,1,0,0,0,0,32.69197083,1,0,0,0,0,48.99625015,1,0,0,0,0,32.21918488,1,0,0,89.32650757,1,2.990473509,24.46627998,26.98646736,92.89248657,27.04114914,86.30974579,27.20214844,64.06343842,27.08059311,69.57603455,29.94092369,29.04092216,-999
01/04/16 17,1.978520155,2.56375289,4.677812576,4.249754429,3.088477373,5.5,2.946654558,120.7699356,1,0,0,0,0,36.8208046,1,0,0,0,0,47.99972153,1,0,0,0,0,30.69345284,1,0,0,67.46578217,1,2.98961544,21.30032349,26.70015144,85.58495331,26.77937889,87.90129852,24.69982719,61.77672958,24.58871651,72.32456207,29.58478165,28.68478012,-999
01/04/16 18,1.596260667,2.627918005,5.005860329,3.908726692,2.296463013,5.5,3.636079788,119.4669189,1,0,0,0,0,34.71881104,1,0,0,0,0,0,0,0,0,0,0,26.61203575,1,0,0,64.65075684,1,2.989822149,22.0558815,28.12576294,90.70491791,28.2305088,53.7009201,25.93969536,64.09646606,25.85438728,85.885849,30.58568001,29.68568039,-999
01/04/16 19,1.357362509,2.810298443,5.160157204,2.672717571,2.296455622,5.465752602,4.874664307,119.7517014,1,0,0,0,0,0,0,0,0,0,0,45.87482834,1,0,0,0,0,0,0,0,0,65.91264343,1,2.989777088,21.89099884,27.98378181,73.65361023,27.94923782,92.8250885,27.93746948,64.09645844,27.93746948,53.44371796,30.40883064,29.50883102,-999
01/04/16 20,1.116461754,3.008681297,4.814342976,4.02430439,2.296448469,4.975688934,2.471185446,121.3039017,1,0,0,0,0,0,0,0,0,0,0,49.54892731,1,0,0,0,0,32.3286972,1,0,0,56.17905045,1,2.989530325,20.98984909,27.8692894,77.55661774,27.82944679,86.04409027,24.02946281,60.22935486,23.90714264,66.01255035,30.27318192,29.3731823,-999
01/04/16 21,0.959915996,3.183893681,4.757069588,4.218758106,1.405825138,4.922422886,1.850159645,97.45456696,1,97.47381592,1,0,0,0,0,0,0,0,0,50.1782608,1,34.23297882,1,0,0,28.45012283,1,0,0,75.92511749,1,2.974797249,34.33970642,28.52468872,67.20307922,28.48390388,85.47467804,20.2786293,83.5510025,20.18208885,74.98118591,31.03130722,30.1313076,-999
01/04/16 22,0.973833263,3.450826406,4.205721855,4.16283226,2.163372755,5.44914484,3.679706097,98.58013916,1,98.59972382,1,0,0,0,0,0,0,0,0,47.79147339,1,32.39785385,1,0,0,29.53604698,1,0,0,70.30417633,1,2.974255562,33.7323761,28.69166565,73.7324295,28.65439987,90.15607452,19.99924088,86.26415253,19.8957653,71.37003326,31.15163231,30.25163269,-999
01/04/16 23,0.945338726,3.86089015,3.906369448,4.220359325,3.219189167,5.477975845,4.701342106,98.99685669,1,99.01657104,1,0,0,0,0,0,0,0,0,0,0,37.14550018,1,0,0,0,0,0,0,51.50650406,1,2.974053621,33.50688934,30.76503181,66.51971436,30.76503181,65.62220001,24.80569267,82.88713837,24.80569267,51.30057907,32.96722794,32.06723022,-999
02/04/16 00,0.929771066,4.391870975,3.359804869,2.945990801,3.432780027,5.00169754,2.34267807,96.88304901,1,96.90213013,1,0,0,0,0,0,0,0,0,51.46762848,1,34.39779282,1,0,0,28.39766312,1,0,0,70.19808197,1,2.975070477,34.64712906,29.48894882,71.31645966,29.44620132,83.85357666,20.4353981,83.42877197,20.33918762,75.29446411,31.97341537,31.07341576,-999
02/04/16 01,1.001009822,4.586789608,2.9918468,2.517925024,3.970378399,5.5,4.190973759,95.86860657,1,95.88739014,1,0,0,33.56264114,1,0,0,0,0,51.52013397,1,34.45454407,1,0,0,31.07114029,1,0,0,76.32024384,1,2.975551605,35.19120789,28.92192268,93.44913483,28.9774189,83.27693176,20.26477242,83.1720047,20.15111923,66.62302399,31.83832169,30.93832207,-999
02/04/16 02,1.211371064,4.534101963,3.614480734,2.001607656,3.579765081,5.49031496,3.495072126,96.94898224,1,96.96808624,1,0,0,33.36287308,1,0,0,38.83620071,1,38.81203079,1,0,0,0,0,30.59827995,1,0,0,79.54587555,1,2.975039005,34.61169434,27.86113358,92.69139099,27.86687851,103.3352051,26.66086769,59.70985413,26.5504055,74.61029053,31.11065292,30.21065331,-999
02/04/16 03,1.37481904,4.221797943,4.20392561,2.358818293,2.484724283,5.459346294,4.797643661,98.89659119,1,98.91627502,1,0,0,35.68715286,1,0,0,37.8301506,1,37.80614471,1,0,0,0,0,0,0,0,0,76.73288727,1,2.974102259,33.56117249,27.38513947,88.29338074,27.40815353,104.1616211,28.8545208,63.82256699,28.8545208,55.41072083,30.63562965,29.73563004,-999
02/04/16 04,1.43313694,3.865509033,4.643250465,2.946587324,2.201887846,4.991740704,2.568631172,97.73296356,1,97.75229645,1,0,0,29.51987267,1,0,0,35.14794922,1,35.12439728,1,0,0,0,0,0,0,0,0,79.95781708,1,2.974663734,34.18972397,27.79673576,98.45053101,27.79820061,107.7197189,29.22080803,63.78864288,29.22080803,60.89927292,30.88366127,29.98366165,-999
02/04/16 05,1.581415653,3.797734261,5.300047874,3.786904335,2.015611172,4.824281693,2.796525002,96.15948486,1,96.17835236,1,0,0,0,0,0,0,0,0,49.04964066,1,0,0,0,0,0,0,0,0,79.79910278,1,2.975414038,35.03541565,29.35143852,71.81528473,29.31233597,88.47994232,29.87724113,59.87878418,29.87724113,49.8229332,31.8725872,30.97258759,-999
